DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3582.2002,3748.1699,2,0.0598,2.5892,2079.8516,1,0.449
3582.3501,3745.0615,2,0.0728,2.5727,2095.2754,1,0.381
3582.5002,3754.7185,2,0.0702,2.5811,2114.5532,1,0.363
3582.6501,3750.6367,2,0.0657,2.5926,2145.8196,0.8673,0.3561
3582.8,3760.8306,2,0.0764,2.5734,2167.0208,0.5149,0.3293
3582.9502,3783.2395,2,0.1038,2.5252,2190.866,0.3794,0.25
3583.1001,3790.3921,2,0.1194,2.5014,2194.2803,0.3794,0.2099
3583.2502,3737.1992,2,0.1305,2.4804,2200.4265,0.3794,0.172
3583.4001,3723.7705,2,0.1374,2.4656,2201.0752,0.3776,0.1419
3583.55,3717.7151,2,0.1443,2.4481,2195.7444,0.3647,0.1089
3583.7002,3719.9312,2,0.149,2.439,2189.9563,0.3647,0.1034
3583.8501,3627.1799,2,0.1543,2.4294,2183.5156,0.3641,0.0994
3584.0002,3661.5745,2,0.1585,2.4214,2172.3838,0.3622,0.0887
3584.1501,3670.1689,2,0.1594,2.4183,2135.4727,0.3618,0.0688
3584.3,3693.1523,2,0.1563,2.4215,2102.9658,0.3618,0.0909
3584.4502,3715.8813,2,0.1467,2.4298,2096.4287,0.3629,0.1844
3584.6001,3754.769,2,0.1389,2.4313,2109.1555,0.3671,0.2493
3584.7502,3824.4407,2,0.1398,2.4316,2162.46,0.3681,0.212
3584.9001,3814.3809,2,0.1471,2.4288,2174.8235,0.3681,0.1483
3585.05,3841.8088,2,0.1501,2.4346,2212.9934,0.3653,0.0968
3585.2002,3838.0845,2,0.1492,2.4388,2240.2964,0.3652,0.0965
3585.3501,3845.2444,2,0.1454,2.4463,2267.1245,0.3653,0.0991
3585.5002,3808.8096,2,0.1444,2.4474,2272.3442,0.3661,0.0965
3585.6501,3850.2361,2,0.1463,2.4438,2271.6448,0.3664,0.0908
3585.8,3931.7029,2,0.1473,2.4429,2284.0942,0.3664,0.096
3585.9502,4347.8145,2,0.1441,2.4495,2299.0435,0.3687,0.1105
3586.1001,4617.522,2,0.1373,2.46,2306.2634,0.3853,0.1185
3586.2502,4660.2139,2,0.1118,2.5021,2306.6477,0.3913,0.1222
3586.4001,4625.2207,2,0.0856,2.5487,2311.9741,0.3913,0.1188
3586.55,4291.5049,2,0.0564,2.6033,2311.7207,0.881,0.1327
3586.7002,4008.6216,2,0.0556,2.6083,2309.1365,1,0.1411
3586.8501,3873.7676,2,0.0808,2.5622,2301.6077,1,0.1318
3587.0002,3804.3264,2,0.1077,2.5131,2302.5645,0.9994,0.1083
3587.1501,3769.1814,2,0.1286,2.474,2306.6506,0.5335,0.0924
3587.3,3762.0955,2,0.1386,2.456,2311.0872,0.3696,0.0892
3587.4502,3786.9622,2,0.144,2.4457,2299.2207,0.3696,0.0955
3587.6001,3829.7097,2,0.1468,2.4398,2278.0952,0.3677,0.0959
3587.7502,3860.8718,2,0.1467,2.4384,2260.0996,0.3668,0.099
3587.9001,3862.8364,2,0.1449,2.4394,2250.5459,0.3668,0.0997
3588.05,3855.9792,2,0.1452,2.4394,2232.9375,0.3668,0.0908
3588.2002,3847.8975,2,0.148,2.4364,2204.8127,0.3661,0.0735
3588.3501,3839.2532,2,0.1491,2.437,2174.6394,0.3657,0.0682
3588.5002,3845.9294,2,0.1481,2.4392,2161.4761,0.3657,0.0701
3588.6501,3854.3506,2,0.1473,2.4388,2153.7998,0.3668,0.0713
3588.8,3880.4827,2,0.1463,2.4383,2149.1462,0.3676,0.0697
3588.9502,3912.6108,2,0.1432,2.4423,2150.3718,0.3676,0.078
3589.1001,3885.354,4,0.1407,2.4488,2164.0486,0.3687,0.0844
3589.2502,3872.3345,4,0.143,2.449,2184.0962,0.3697,0.0875
3589.4001,3914.9685,4,0.1458,2.4495,2208.6284,0.3697,0.1096
3589.55,4005.3315,4,0.1383,2.4683,2242.4001,0.3697,0.1504
3589.7002,4110.937,4,0.1163,2.5081,2299.5994,0.4096,0.1824
3589.8501,4401.6182,4,0.0839,2.5587,2373.4153,0.4549,0.1892
3590.0002,4779.3145,2,0.0543,2.6011,2434.6467,0.5501,0.1704
3590.1501,4837.1357,2,0.0388,2.6256,2466.071,0.7104,0.1406
3590.3,4787.0508,2,0.0391,2.63,2465.4741,0.8584,0.1234
3590.4502,4743.9883,2,0.0594,2.5982,2452.2864,1,0.1034
3590.6001,4547.0654,2,0.0916,2.5409,2424.0374,0.7797,0.0838
3590.7502,4265.3804,2,0.1202,2.49,2400.2827,0.3984,0.0709
3590.9001,4104.8057,2,0.1351,2.4636,2372.3479,0.3763,0.0674
3591.05,3992.2271,2,0.1388,2.4572,2338.6531,0.3716,0.0778
3591.2002,3944.1531,2,0.1396,2.4557,2283.8196,0.3711,0.0852
3591.3501,3942.8105,2,0.1407,2.4534,2242.9849,0.3697,0.0883
3591.5002,3930.8438,2,0.141,2.4532,2218.4063,0.3697,0.0848
3591.6501,3939.3174,2,0.1417,2.451,2207.8494,0.3691,0.0766
3591.8,3945.0776,2,0.1426,2.446,2198.791,0.3677,0.0694
3591.9502,3958.5654,2,0.1449,2.4391,2190.292,0.3676,0.0525
3592.1001,3962.5049,2,0.1481,2.4319,2189.9895,0.3676,0.0403
3592.2502,3959.0498,2,0.1487,2.4318,2191.9697,0.3673,0.0361
3592.4001,3958.157,2,0.149,2.4312,2193.7598,0.3667,0.0387
3592.55,3950.3674,2,0.1478,2.4352,2198.708,0.3666,0.05
3592.7002,3941.9111,2,0.1485,2.4358,2202.9773,0.3665,0.0631
3592.8501,3945.0986,2,0.1521,2.4309,2221.6948,0.3662,0.0764
3593.0002,3978.1912,2,0.1515,2.431,2229.9839,0.3662,0.0817
3593.1501,3980.6904,2,0.1483,2.435,2253.7659,0.3662,0.0807
3593.3,3997.5168,2,0.145,2.4412,2269.5095,0.3665,0.0727
3593.4502,3940.6892,2,0.1446,2.4444,2313.2029,0.369,0.067
3593.6001,3932.5342,2,0.1439,2.4456,2329.8655,0.369,0.0644
3593.7502,3929.6333,2,0.1423,2.4477,2346.9688,0.3691,0.0646
3593.9001,3937.7915,2,0.1429,2.4454,2350.4375,0.3694,0.0675
3594.05,3954.7544,4,0.1436,2.4463,2371.6343,0.3695,0.0671
3594.2002,4075.6926,4,0.1414,2.452,2380.521,0.3696,0.0788
3594.3501,4224.1567,4,0.1225,2.4878,2350.145,0.4267,0.1066
3594.5002,4291.29,4,0.1045,2.5197,2309.5811,0.4274,0.1257
3594.6501,4265.6367,4,0.0624,2.5943,2227.8081,0.4274,0.16
3594.8,4271.2354,4,0.044,2.6279,2211.0359,0.4274,0.1869
3594.9502,4116.5498,4,0.0443,2.6258,2205.512,0.9572,0.2114
3595.1001,3974.323,2,0.0643,2.5855,2214.6455,1,0.2023
3595.2502,3829.9922,2,0.1164,2.4907,2249.9348,0.9334,0.1159
3595.4001,3797.3611,2,0.1434,2.442,2286.3232,0.5118,0.0751
3595.55,3841.1216,2,0.1595,2.4178,2335.7063,0.3679,0.061
3595.7002,3927.4353,2,0.1532,2.4301,2342.2649,0.3679,0.0903
3595.8501,4004.8052,2,0.1266,2.4801,2329.8628,0.3727,0.1219
3596.0002,4062.2827,2,0.0999,2.5279,2314.0715,0.4162,0.1411
3596.1501,4058.7424,2,0.0749,2.5704,2278.5715,0.4332,0.1447
3596.3,4032.3245,2,0.0758,2.5676,2235.8105,0.4332,0.1332
3596.4502,3981.2644,2,0.0967,2.5282,2194.9211,0.401,0.134
3596.6001,3853.4622,2,0.1146,2.4977,2173.4253,0.3911,0.1418
3596.7502,3734.6321,2,0.114,2.4955,2155.4524,0.4076,0.1788
3596.9001,3701.0557,2,0.0955,2.5276,2122.9133,0.4487,0.2377
3597.05,3718.2642,0,0.0656,2.58,2082.2261,0.5519,0.3516
3597.2002,3734.198,0,0.0432,2.6191,2052.2285,0.8649,0.4664
3597.3501,3736.678,0,0.0348,2.6328,2040.5327,1,0.5256
3597.5002,3720.2212,0,0.0374,2.6281,2046.6362,1,0.485
3597.6501,3709.1711,0,0.0407,2.6228,2064.2419,1,0.4148
3597.8,3728.2253,0,0.0448,2.6193,2093.9998,1,0.3627
3597.9502,3778.0352,0,0.0494,2.6141,2129.1272,1,0.3574
3598.1001,3790.614,2,0.0625,2.5949,2160.5759,1,0.3447
3598.2502,3799.5364,2,0.083,2.5562,2182.0627,0.6875,0.2926
3598.4001,3805.6462,2,0.1015,2.5197,2186.2178,0.4349,0.2332
3598.55,3805.9692,2,0.1104,2.5036,2178.8672,0.4039,0.2097
3598.7002,3809.8682,2,0.1106,2.5036,2174.6707,0.3905,0.219
3598.8501,3812.8542,2,0.1136,2.5007,2177.1987,0.3905,0.2215
3599.0002,3817.7268,2,0.124,2.4842,2181.7278,0.3814,0.2002
3599.1501,3824.1255,2,0.1363,2.4615,2186.2178,0.3721,0.1638
3599.3,3846.4014,2,0.1451,2.4433,2198.8677,0.3721,0.1248
3599.4502,3858.0164,2,0.1486,2.4341,2217.4641,0.3708,0.0925
3599.6001,3845.5554,2,0.1476,2.4359,2226.689,0.3693,0.0797
3599.7502,3837.3542,2,0.1447,2.445,2224.6787,0.3693,0.0897
3599.9001,3811.6028,2,0.1449,2.4478,2214.7793,0.3693,0.1013
3600.05,3764.4319,2,0.1478,2.445,2199.0315,0.3695,0.1103
3600.2002,3726.8411,2,0.1473,2.4464,2177.9373,0.3698,0.1251
3600.3501,3708.0276,2,0.1444,2.4507,2155.6951,0.3698,0.1347
3600.5002,3696.6555,2,0.1426,2.4538,2140.7144,0.3697,0.1447
3600.6501,3691.7725,2,0.1436,2.452,2139.6853,0.3695,0.1495
3600.8,3712.5569,2,0.1465,2.4461,2148.918,0.3695,0.1515
3600.9502,3774.5991,2,0.1476,2.443,2158.1401,0.3695,0.1548
3601.1001,3818.0483,2,0.1494,2.4368,2164.8987,0.374,0.1281
3601.2502,3807.8015,2,0.1392,2.4523,2162.6396,0.3862,0.1051
3601.4001,3842.6555,2,0.1153,2.495,2164.3704,0.3862,0.1271
3601.55,3859.2617,2,0.0862,2.5492,2165.8896,0.3866,0.2083
3601.7002,3846.782,2,0.0836,2.556,2179.0334,0.3876,0.2348
3601.8501,3831.823,2,0.1122,2.5012,2211.6899,0.3877,0.179
3602.0002,3839.4265,2,0.1366,2.4597,2248.2646,0.3877,0.1098
3602.1501,3865.6382,2,0.1547,2.4264,2288.8135,0.3821,0.0607
3602.3,3869.4626,2,0.1587,2.4178,2305.8401,0.3667,0.0519
3602.4502,3902.4946,2,0.1607,2.4089,2311.8325,0.3647,0.0389
3602.6001,3913.8728,2,0.1546,2.4154,2307.73,0.3652,0.0528
3602.7502,3925.1687,2,0.1511,2.4207,2290.5559,0.3685,0.0712
3602.9001,3923.4766,2,0.1492,2.4239,2278.9292,0.3685,0.0813
3603.05,3910.6331,2,0.148,2.4338,2268.4199,0.369,0.0906
3603.2002,3895.9446,2,0.1458,2.441,2267.355,0.3705,0.0805
3603.3501,3881.1011,2,0.1449,2.4461,2270.8347,0.3708,0.0684
3603.5002,3866.6157,2,0.1443,2.4469,2271.2471,0.3708,0.0558
3603.6501,3857.9802,2,0.1464,2.44,2267.6526,0.3708,0.0479
3603.8,3840.7446,2,0.1458,2.441,2264.6414,0.3707,0.0556
3603.9502,3819.2307,2,0.1466,2.4362,2264.3804,0.3707,0.0915
3604.1001,3830.1472,2,0.1451,2.4384,2269.7678,0.3707,0.1078
3604.2502,3882.4756,2,0.1378,2.4516,2279.2942,0.3831,0.1235
3604.4001,3907.3416,2,0.1296,2.4706,2281.762,0.3838,0.1322
3604.55,3932.542,2,0.1177,2.4955,2279.0876,0.3838,0.1494
3604.7002,3934.1216,2,0.1134,2.5017,2275.6929,0.3838,0.1584
3604.8501,3948.9116,2,0.1157,2.494,2261.6948,0.3867,0.146
3605.0002,3934.2664,2,0.1187,2.4901,2250.635,0.387,0.137
3605.1501,3915.5364,2,0.1239,2.4843,2228.5688,0.3871,0.1268
3605.3,3900.4333,2,0.124,2.4834,2225.8955,0.3877,0.1264
3605.4502,3916.2136,2,0.119,2.4906,2256.2605,0.3879,0.1478
3605.6001,3909.7749,2,0.1161,2.4956,2296.9746,0.3879,0.1595
3605.7502,3884.0339,2,0.1194,2.4898,2358.1272,0.3857,0.1621
3605.9001,3866.9656,2,0.124,2.484,2387.9109,0.3852,0.1559
3606.05,3935.7007,4,0.1255,2.4806,2428.3625,0.3852,0.159
3606.2002,4174.6655,4,0.1219,2.4844,2455.2729,0.3853,0.144
3606.3501,4341.541,4,0.105,2.5084,2464.4458,0.4458,0.1067
3606.5002,4467.4043,4,0.0774,2.5553,2455.429,0.4689,0.0784
3606.6501,4528.1665,4,0.0469,2.6122,2450.2266,0.4715,0.0851
3606.8,4596.0879,4,0.0382,2.6311,2442.0408,0.8261,0.1108
3606.9502,4467.0049,4,0.0575,2.5981,2415.1248,1,0.1312
3607.1001,4247.2222,4,0.0912,2.5385,2345.8096,1,0.1336
3607.2502,4016.9478,4,0.1154,2.4976,2274.8975,1,0.1302
3607.4001,3914.1301,4,0.1171,2.4968,2212.603,0.6455,0.1551
3607.55,3883.8818,4,0.0992,2.5307,2174.9751,0.4226,0.2358
3607.7002,3860.0486,4,0.0754,2.572,2146.408,0.4229,0.3362
3607.8501,3840.2322,4,0.0608,2.5962,2120.8186,0.7486,0.386
3608.0002,3839.9004,2,0.0633,2.5915,2106.9956,1,0.3678
3608.1501,3818.1443,2,0.0832,2.5545,2108.2605,1,0.3032
3608.3,3768.2969,2,0.1119,2.5016,2120.5354,0.6799,0.2267
3608.4502,3725.2913,2,0.1332,2.4622,2136.261,0.3801,0.1743
3608.6001,3701.7185,2,0.1374,2.4557,2148.8721,0.3801,0.1621
3608.7502,3696.7766,2,0.1303,2.4717,2153.0867,0.3801,0.1754
3608.9001,3701.2893,2,0.127,2.4801,2154.114,0.3802,0.1724
3609.05,3708.2578,2,0.1308,2.4734,2156.9497,0.3802,0.1544
3609.2002,3721.3433,2,0.1332,2.4694,2158.9998,0.3802,0.1521
3609.3501,3738.6309,2,0.1337,2.4708,2159.3066,0.3801,0.1529
3609.5002,3739.7869,2,0.1372,2.4639,2159.5742,0.3799,0.1446
3609.6501,3748.5967,2,0.1389,2.4562,2158.9023,0.3799,0.1451
3609.8,3761.4553,2,0.1297,2.4683,2160.0889,0.3799,0.1841
3609.9502,3794.2761,2,0.1159,2.4928,2169.1892,0.3839,0.2307
3610.1001,3794.5435,2,0.1128,2.5037,2197.8765,0.3916,0.2214
3610.2502,3783.1724,2,0.1186,2.4949,2243.7017,0.3916,0.1911
3610.4001,3802.2788,2,0.1248,2.4848,2274.281,0.3879,0.1673
3610.55,3834.9963,2,0.1299,2.4764,2280.4697,0.3789,0.1596
3610.7002,3860.3748,2,0.1361,2.4658,2255.4563,0.3789,0.1459
3610.8501,3838.9924,2,0.1411,2.456,2208.9209,0.3808,0.1354
3611.0002,3817.8237,2,0.1381,2.4593,2180.1558,0.385,0.147
3611.1501,3791.2041,2,0.1283,2.4751,2163.6458,0.3853,0.1767
3611.3,3792.2422,2,0.1176,2.4957,2178.0032,0.3853,0.2123
3611.4502,3777.1711,2,0.1114,2.5119,2192.8965,0.3857,0.2388
