DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3500,3274.6978,0,0.0516,2.6014,1425.8311,1,0.752
3500.1499,3290.4187,0,0.0608,2.6013,1444.7288,1,0.6802
3500.3,3311.4287,0,0.0701,2.5946,1444.5577,1,0.6143
3500.45,3348.2312,0,0.081,2.585,1444.8046,1,0.5483
3500.6001,3363.5308,0,0.0792,2.5855,1442.1177,1,0.5214
3500.75,3393.6929,0,0.0668,2.5973,1437.0759,1,0.5112
3500.8999,3398.4788,0,0.0584,2.6085,1439.3434,1,0.4799
3501.05,3376.4705,0,0.0489,2.6253,1446.3109,1,0.4845
3501.2,3348.6724,0,0.0488,2.6256,1453.207,1,0.4759
3501.3501,3321.7021,0,0.0427,2.6186,1461.99,1,0.5379
3501.5,3306.8601,0,0.0388,2.6125,1471.5607,1,0.5968
3501.6499,3319.4175,0,0.0376,2.6151,1483.5422,1,0.6533
3501.8,3265.4792,0,0.039,2.6156,1489.085,1,0.6908
3501.95,3267.5493,0,0.0345,2.6194,1499.6448,1,0.7238
3502.1001,3309.7292,0,0.0316,2.6155,1511.0626,1,0.7221
3502.25,3345.8408,0,0.0371,2.6123,1524.8143,1,0.6448
3502.3999,3406.9512,0,0.0432,2.6121,1535.4402,1,0.5796
3502.55,3513.0713,0,0.0397,2.6215,1550.1058,1,0.5869
3502.7,3640.7605,0,0.0376,2.6291,1565.9723,1,0.5877
3502.8501,3667.999,0,0.0359,2.6368,1576.8079,1,0.5808
3503,3628.6792,0,0.0366,2.6398,1593.7047,1,0.5504
3503.1499,3586.0803,4,0.04,2.6386,1620.4568,1,0.5056
3503.3,3523.1477,4,0.043,2.6351,1657.1906,1,0.4748
3503.45,3493.1375,4,0.0485,2.6264,1691.6429,1,0.4553
3503.6001,3531.4023,4,0.0467,2.6242,1716.7354,1,0.482
3503.75,3568.0291,4,0.0436,2.6217,1721.8842,1,0.5069
3503.8999,3575.397,4,0.0412,2.6239,1702.98,1,0.5096
3504.05,3567.229,0,0.0404,2.6303,1671.4075,1,0.4964
3504.2,3537.7415,0,0.0432,2.6323,1648.3036,1,0.4722
3504.3501,3488.8528,0,0.0402,2.6348,1638.864,1,0.4739
3504.5,3416.7666,0,0.0349,2.6306,1622.0537,1,0.5027
3504.6499,3359.6831,0,0.0275,2.6263,1606.2095,1,0.5816
3504.8,3336.5779,0,0.0293,2.6186,1600.0715,1,0.6463
3504.95,3322.3608,0,0.0376,2.6134,1607.1971,1,0.676
3505.1001,3337.3726,0,0.0464,2.6089,1619.1748,1,0.6588
3505.25,3386.2969,0,0.049,2.6113,1629.4816,1,0.6378
3505.3999,3457.314,0,0.0468,2.6155,1641.9309,1,0.6376
3505.55,3483.3064,0,0.0462,2.6149,1655.9042,1,0.6256
3505.7,3523.9272,0,0.0405,2.6194,1664.8563,1,0.6353
3505.8501,3538.5039,0,0.0332,2.6285,1682.1913,1,0.6414
3506,3553.582,0,0.0313,2.6354,1701.5907,1,0.6381
3506.1499,3578.1074,0,0.0337,2.6363,1731.3928,1,0.6405
3506.3,3614.8911,0,0.036,2.633,1748.1322,1,0.6345
3506.45,3624.6145,0,0.0361,2.6219,1773.9536,1,0.6559
3506.6001,3631.2148,0,0.0383,2.6115,1803.5472,1,0.6571
3506.75,3647.771,0,0.0363,2.6061,1838.8678,1,0.693
3506.8999,3667.9126,0,0.0388,2.6065,1853.6055,1,0.679
3507.05,3670.876,0,0.0411,2.6064,1864.537,1,0.6586
3507.2,3672.5664,0,0.0367,2.608,1870.3009,1,0.6717
3507.3501,3657.3123,0,0.0301,2.6123,1874.9403,1,0.6719
3507.5,3636.7122,0,0.0237,2.6174,1872.9286,1,0.7133
3507.6499,3603.6509,0,0.0255,2.6273,1867.3157,1,0.6912
3507.8,3604.8533,0,0.0259,2.6322,1863.2024,1,0.7094
3507.95,3605.4644,0,0.031,2.6219,1869.9054,1,0.706
3508.1001,3601.1807,0,0.0321,2.6156,1875.6499,1,0.7258
3508.25,3621.2598,0,0.0267,2.6047,1873.6965,1,0.7865
3508.3999,3633.3501,0,0.0263,2.6108,1859.0864,1,0.7547
3508.55,3710.3843,0,0.0378,2.607,1852.8115,1,0.6478
3508.7,3709.4336,0,0.0428,2.61,1854.0355,1,0.6059
3508.8501,3710.9785,0,0.045,2.6146,1875.0294,1,0.5827
3509,3710.9829,0,0.0408,2.6229,1877.8364,1,0.6164
3509.1499,3706.2058,0,0.0297,2.64,1874.6202,1,0.6679
3509.3,3702.8354,0,0.026,2.643,1871.3729,1,0.7166
3509.45,3708.9846,0,0.0265,2.6381,1853.5546,1,0.697
3509.6001,3710.2451,0,0.034,2.6335,1845.6438,1,0.6655
3509.75,3711.3667,0,0.0315,2.6352,1836.1581,1,0.6629
3509.8999,3717.9707,0,0.0245,2.6435,1838.9524,1,0.7125
