Zp,VpVs ratio,Lithology,Porosity
5.2028403e+03,2.2489000e+00,4.0000000e+00,3.3120000e-01
5.1582939e+03,2.2676000e+00,4.0000000e+00,3.2500000e-01
5.1514404e+03,2.2726000e+00,4.0000000e+00,3.3290000e-01
5.1576655e+03,2.2723000e+00,4.0000000e+00,3.3820000e-01
5.1441919e+03,2.2761000e+00,4.0000000e+00,3.3820000e-01
5.1030449e+03,2.2871000e+00,4.0000000e+00,3.3920000e-01
5.0554639e+03,2.2993000e+00,4.0000000e+00,3.3360000e-01
5.0465620e+03,2.2992000e+00,4.0000000e+00,3.3540000e-01
5.0584263e+03,2.2935000e+00,4.0000000e+00,3.4510000e-01
5.1161836e+03,2.2744000e+00,4.0000000e+00,3.5270000e-01
5.3202271e+03,2.2251000e+00,4.0000000e+00,3.5200000e-01
5.9175063e+03,2.1232000e+00,4.0000000e+00,3.4560000e-01
6.9913989e+03,2.0155000e+00,4.0000000e+00,3.3170000e-01
8.0845313e+03,1.9467000e+00,4.0000000e+00,2.7560000e-01
9.2998857e+03,1.8939000e+00,2.0000000e+00,1.5680000e-01
1.0366004e+04,1.8600000e+00,2.0000000e+00,5.8700000e-02
1.1316418e+04,1.8381000e+00,2.0000000e+00,3.2700000e-02
1.1742124e+04,1.8355000e+00,2.0000000e+00,1.1300000e-02
1.1569585e+04,1.8436000e+00,2.0000000e+00,6.7000000e-03
1.0948149e+04,1.8573000e+00,2.0000000e+00,1.7900000e-02
1.0096948e+04,1.8756000e+00,2.0000000e+00,2.1900000e-02
9.2450098e+03,1.8971000e+00,2.0000000e+00,3.8000000e-02
8.6199678e+03,1.9139000e+00,3.0000000e+00,1.1110000e-01
7.9962910e+03,1.9320000e+00,4.0000000e+00,1.9190000e-01
7.6174243e+03,1.9442000e+00,4.0000000e+00,2.1450000e-01
7.2812910e+03,1.9585000e+00,4.0000000e+00,2.1900000e-01
6.9642134e+03,1.9792000e+00,4.0000000e+00,2.2030000e-01
6.7559419e+03,1.9980000e+00,4.0000000e+00,2.1890000e-01
6.4778369e+03,2.0310000e+00,4.0000000e+00,2.4020000e-01
6.1604497e+03,2.0765000e+00,4.0000000e+00,2.7630000e-01
5.8529219e+03,2.1271000e+00,4.0000000e+00,2.9730000e-01
5.5300332e+03,2.1907000e+00,4.0000000e+00,3.1630000e-01
5.3221455e+03,2.2415000e+00,4.0000000e+00,3.2640000e-01
5.1835767e+03,2.2813000e+00,4.0000000e+00,3.2160000e-01
5.1353276e+03,2.2957000e+00,4.0000000e+00,3.2300000e-01
5.1463843e+03,2.2912000e+00,4.0000000e+00,3.3120000e-01
5.1642217e+03,2.2848000e+00,4.0000000e+00,3.3330000e-01
5.1716792e+03,2.2825000e+00,4.0000000e+00,3.1980000e-01
5.1885161e+03,2.2770000e+00,4.0000000e+00,3.0420000e-01
5.2121846e+03,2.2688000e+00,4.0000000e+00,3.0600000e-01
5.2411709e+03,2.2587000e+00,4.0000000e+00,3.2340000e-01
5.2913013e+03,2.2440000e+00,4.0000000e+00,3.2630000e-01
5.3841128e+03,2.2197000e+00,4.0000000e+00,3.3050000e-01
5.4685850e+03,2.1990000e+00,4.0000000e+00,3.2690000e-01
5.5112798e+03,2.1881000e+00,4.0000000e+00,2.9870000e-01
5.5360742e+03,2.1805000e+00,4.0000000e+00,2.6660000e-01
5.5264893e+03,2.1823000e+00,4.0000000e+00,2.9350000e-01
5.4899551e+03,2.1926000e+00,4.0000000e+00,3.2040000e-01
5.4054956e+03,2.2170000e+00,4.0000000e+00,3.1910000e-01
5.3756187e+03,2.2270000e+00,4.0000000e+00,3.2660000e-01
5.4833188e+03,2.2066000e+00,4.0000000e+00,3.3550000e-01
5.7664707e+03,2.1567000e+00,4.0000000e+00,3.0670000e-01
6.2883877e+03,2.0858000e+00,4.0000000e+00,2.7950000e-01
7.1000088e+03,2.0060000e+00,4.0000000e+00,2.4430000e-01
8.0306211e+03,1.9380000e+00,4.0000000e+00,2.0370000e-01
8.7855820e+03,1.8915000e+00,2.0000000e+00,1.4210000e-01
9.3069160e+03,1.8630000e+00,2.0000000e+00,7.4700000e-02
9.8259678e+03,1.8411000e+00,2.0000000e+00,6.9900000e-02
1.0214438e+04,1.8286000e+00,3.0000000e+00,1.0110000e-01
